number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.8248072368665014,2025-10-14 20:34:57.542713,2025-10-14 20:35:07.102917,0 days 00:00:09.560204,True,,20,sqrt,6,15,218,COMPLETE
1,0.8121912103882188,2025-10-14 20:35:07.107004,2025-10-14 20:35:16.472791,0 days 00:00:09.365787,False,,6,log2,2,5,425,COMPLETE
